Sample ID	Patient ID	changed
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
NCIH1184_LUNG	NCIH1184_LUNG	wt
HCC2157_BREAST	HCC2157_BREAST	wt
TC71_BONE	TC71_BONE	wt
SNU449_LIVER	SNU449_LIVER	wt
NCIH28_PLEURA	NCIH28_PLEURA	wt
OV56_OVARY	OV56_OVARY	wt
JHOS4_OVARY	JHOS4_OVARY	wt
KYSE450_OESOPHAGUS	KYSE450_OESOPHAGUS	wt
RMUGS_OVARY	RMUGS_OVARY	wt
KLE_ENDOMETRIUM	KLE_ENDOMETRIUM	wt
HS895T_FIBROBLAST	HS895T_FIBROBLAST	wt
LN229_CENTRAL_NERVOUS_SYSTEM	LN229_CENTRAL_NERVOUS_SYSTEM	wt
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
RKN_SOFT_TISSUE	RKN_SOFT_TISSUE	wt
PATU8988S_PANCREAS	PATU8988S_PANCREAS	wt
NH6_AUTONOMIC_GANGLIA	NH6_AUTONOMIC_GANGLIA	wt
SF126_CENTRAL_NERVOUS_SYSTEM	SF126_CENTRAL_NERVOUS_SYSTEM	wt
RERFLCAD2_LUNG	RERFLCAD2_LUNG	wt
SNGM_ENDOMETRIUM	SNGM_ENDOMETRIUM	wt
OUMS27_BONE	OUMS27_BONE	wt
PL45_PANCREAS	PL45_PANCREAS	
NCIH2347_LUNG	NCIH2347_LUNG	wt
SW1990_PANCREAS	SW1990_PANCREAS	wt
HS940T_FIBROBLAST	HS940T_FIBROBLAST	wt
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
RERFGC1B_STOMACH	RERFGC1B_STOMACH	wt
HT1080_SOFT_TISSUE	HT1080_SOFT_TISSUE	wt
COV318_OVARY	COV318_OVARY	wt
NCIH2085_LUNG	NCIH2085_LUNG	wt
NCIH510_LUNG	NCIH510_LUNG	wt
CAKI1_KIDNEY	CAKI1_KIDNEY	wt
NCIH716_LARGE_INTESTINE	NCIH716_LARGE_INTESTINE	wt
NCIH2066_LUNG	NCIH2066_LUNG	wt
NCIH1341_LUNG	NCIH1341_LUNG	wt
NCIH2029_LUNG	NCIH2029_LUNG	wt
C3A_LIVER	C3A_LIVER	wt
SW480_LARGE_INTESTINE	SW480_LARGE_INTESTINE	wt
HS746T_STOMACH	HS746T_STOMACH	wt
LU65_LUNG	LU65_LUNG	wt
HS739T_FIBROBLAST	HS739T_FIBROBLAST	wt
SNUC2A_LARGE_INTESTINE	SNUC2A_LARGE_INTESTINE	wt
HEC151_ENDOMETRIUM	HEC151_ENDOMETRIUM	wt
MSTO211H_PLEURA	MSTO211H_PLEURA	wt
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
JHH7_LIVER	JHH7_LIVER	wt
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
5637_URINARY_TRACT	5637_URINARY_TRACT	wt
HCC38_BREAST	HCC38_BREAST	wt
NCIH1573_LUNG	NCIH1573_LUNG	wt
SKUT1_SOFT_TISSUE	SKUT1_SOFT_TISSUE	wt
MDAMB175VII_BREAST	MDAMB175VII_BREAST	wt
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
BECKER_CENTRAL_NERVOUS_SYSTEM	BECKER_CENTRAL_NERVOUS_SYSTEM	wt
NCIH226_LUNG	NCIH226_LUNG	wt
SW1783_CENTRAL_NERVOUS_SYSTEM	SW1783_CENTRAL_NERVOUS_SYSTEM	wt
ISTMES1_PLEURA	ISTMES1_PLEURA	wt
NCIH1734_LUNG	NCIH1734_LUNG	wt
NCIH2342_LUNG	NCIH2342_LUNG	wt
EBC1_LUNG	EBC1_LUNG	wt
YMB1_BREAST	YMB1_BREAST	
T173_FIBROBLAST	T173_FIBROBLAST	wt
NCIH322_LUNG	NCIH322_LUNG	wt
HS618T_FIBROBLAST	HS618T_FIBROBLAST	wt
HS870T_FIBROBLAST	HS870T_FIBROBLAST	wt
HS706T_BONE	HS706T_BONE	wt
PANC1_PANCREAS	PANC1_PANCREAS	wt
NCIH2291_LUNG	NCIH2291_LUNG	wt
T47D_BREAST	T47D_BREAST	wt
HS742T_FIBROBLAST	HS742T_FIBROBLAST	wt
BICR56_UPPER_AERODIGESTIVE_TRACT	BICR56_UPPER_AERODIGESTIVE_TRACT	wt
BICR16_UPPER_AERODIGESTIVE_TRACT	BICR16_UPPER_AERODIGESTIVE_TRACT	wt
TE10_OESOPHAGUS	TE10_OESOPHAGUS	wt
BICR6_UPPER_AERODIGESTIVE_TRACT	BICR6_UPPER_AERODIGESTIVE_TRACT	wt
AZ521_SMALL_INTESTINE	AZ521_SMALL_INTESTINE	
KPL1_BREAST	KPL1_BREAST	wt
CGTHW1_THYROID	CGTHW1_THYROID	wt
TUHR4TKB_KIDNEY	TUHR4TKB_KIDNEY	wt
LS123_LARGE_INTESTINE	LS123_LARGE_INTESTINE	wt
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
HPAC_PANCREAS	HPAC_PANCREAS	wt
RCC10RGB_KIDNEY	RCC10RGB_KIDNEY	wt
JHOM1_OVARY	JHOM1_OVARY	wt
SU8686_PANCREAS	SU8686_PANCREAS	wt
HCC33_LUNG	HCC33_LUNG	wt
TE6_OESOPHAGUS	TE6_OESOPHAGUS	wt
JHOC5_OVARY	JHOC5_OVARY	wt
ACCMESO1_PLEURA	ACCMESO1_PLEURA	wt
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
SNU1214_UPPER_AERODIGESTIVE_TRACT	SNU1214_UPPER_AERODIGESTIVE_TRACT	wt
CORL105_LUNG	CORL105_LUNG	wt
LMSU_STOMACH	LMSU_STOMACH	wt
SNU1197_LARGE_INTESTINE	SNU1197_LARGE_INTESTINE	wt
COLO668_LUNG	COLO668_LUNG	wt
OSRC2_KIDNEY	OSRC2_KIDNEY	wt
HUH6_LIVER	HUH6_LIVER	wt
PANC0203_PANCREAS	PANC0203_PANCREAS	wt
CJM_SKIN	CJM_SKIN	wt
BICR22_UPPER_AERODIGESTIVE_TRACT	BICR22_UPPER_AERODIGESTIVE_TRACT	wt
SHSY5Y_AUTONOMIC_GANGLIA	SHSY5Y_AUTONOMIC_GANGLIA	wt
TM31_CENTRAL_NERVOUS_SYSTEM	TM31_CENTRAL_NERVOUS_SYSTEM	wt
SNU1272_KIDNEY	SNU1272_KIDNEY	wt
KPNRTBM1_AUTONOMIC_GANGLIA	KPNRTBM1_AUTONOMIC_GANGLIA	wt
TE4_OESOPHAGUS	TE4_OESOPHAGUS	wt
PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
ECC10_STOMACH	ECC10_STOMACH	wt
TUHR14TKB_KIDNEY	TUHR14TKB_KIDNEY	wt
YD15_SALIVARY_GLAND	YD15_SALIVARY_GLAND	wt
UBLC1_URINARY_TRACT	UBLC1_URINARY_TRACT	wt
ECGI10_OESOPHAGUS	ECGI10_OESOPHAGUS	wt
CW2_LARGE_INTESTINE	CW2_LARGE_INTESTINE	wt
SNU761_LIVER	SNU761_LIVER	wt
SNU61_LARGE_INTESTINE	SNU61_LARGE_INTESTINE	wt
NCIH1915_LUNG	NCIH1915_LUNG	wt
SNU324_PANCREAS	SNU324_PANCREAS	wt
YD10B_UPPER_AERODIGESTIVE_TRACT	YD10B_UPPER_AERODIGESTIVE_TRACT	wt
HCC2279_LUNG	HCC2279_LUNG	wt
HLC1_LUNG	HLC1_LUNG	
TUHR10TKB_KIDNEY	TUHR10TKB_KIDNEY	wt
VMRCLCP_LUNG	VMRCLCP_LUNG	wt
TGBC11TKB_STOMACH	TGBC11TKB_STOMACH	wt
OVK18_OVARY	OVK18_OVARY	wt
SNU1077_ENDOMETRIUM	SNU1077_ENDOMETRIUM	wt
SNU213_PANCREAS	SNU213_PANCREAS	wt
TE14_OESOPHAGUS	TE14_OESOPHAGUS	wt
TE8_OESOPHAGUS	TE8_OESOPHAGUS	wt
SNU520_STOMACH	SNU520_STOMACH	wt
JHUEM3_ENDOMETRIUM	JHUEM3_ENDOMETRIUM	wt
LI7_LIVER	LI7_LIVER	wt
NCIH838_LUNG	NCIH838_LUNG	wt
SNU119_OVARY	SNU119_OVARY	wt
SNU1033_LARGE_INTESTINE	SNU1033_LARGE_INTESTINE	wt
GSS_STOMACH	GSS_STOMACH	wt
TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
HCC1171_LUNG	HCC1171_LUNG	wt
U138MG_CENTRAL_NERVOUS_SYSTEM	U138MG_CENTRAL_NERVOUS_SYSTEM	wt
SNU620_STOMACH	SNU620_STOMACH	wt
ECC12_STOMACH	ECC12_STOMACH	wt
GSU_STOMACH	GSU_STOMACH	wt
