Sample.ID	Patient.ID	changed
SNU283_LARGE_INTESTINE	SNU283	wt
SNU46_UPPER_AERODIGESTIVE_TRACT	SNU46	wt
SNU308_BILIARY_TRACT	SNU308	wt
YD8_UPPER_AERODIGESTIVE_TRACT	YD8	wt
SNU245_BILIARY_TRACT	SNU245	wt
SNU478_BILIARY_TRACT	SNU478	wt
SNU410_PANCREAS	SNU410	wt
SNU626_CENTRAL_NERVOUS_SYSTEM	SNU626	wt
SNU878_LIVER	SNU878	wt
SNU8_OVARY	SNU8	wt
NCIH684_LIVER	NCIH684	wt
IGR39_SKIN	IGR39	wt
DAOY_CENTRAL_NERVOUS_SYSTEM	DAOY	wt
HEP3B217_LIVER	HEP3B217	wt
KYM1_SOFT_TISSUE	KYM1	wt
HLE_LIVER	HLE	wt
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK	wt
JMSU1_URINARY_TRACT	JMSU1	wt
IMR32_AUTONOMIC_GANGLIA	IMR32	wt
T3M4_PANCREAS	T3M4	wt
COLO818_SKIN	COLO818	wt
PK45H_PANCREAS	PK45H	wt
CPCN_LUNG	CPCN	wt
NUGC2_STOMACH	NUGC2	wt
KPNYN_AUTONOMIC_GANGLIA	KPNYN	wt
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	CCFSTTG1	wt
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NCIH929	wt
KMRC3_KIDNEY	KMRC3	wt
NCIH2023_LUNG	NCIH2023	wt
D341MED_CENTRAL_NERVOUS_SYSTEM	D341MED	wt
NCIH660_PROSTATE	NCIH660	wt
NCIH1618_LUNG	NCIH1618	wt
HS675T_FIBROBLAST	HS675T	wt
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM1	wt
HT144_SKIN	HT144	wt
SKMEL31_SKIN	SKMEL31	wt
HS839T_FIBROBLAST	HS839T	wt
HS939T_SKIN	HS939T	wt
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCILY3	wt
HS819T_FIBROBLAST	HS819T	wt
DV90_LUNG	DV90	wt
ZR751_BREAST	ZR751	wt
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KG1	wt
SKNBE2_AUTONOMIC_GANGLIA	SKNBE2	wt
NCIH2452_PLEURA	NCIH2452	wt
SNU1_STOMACH	SNU1	wt
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	LOUCY	wt
HCC56_LARGE_INTESTINE	HCC56	wt
TO175T_FIBROBLAST	TO175T	wt
MPP89_PLEURA	MPP89	wt
PANC0813_PANCREAS	PANC0813	wt
MG63_BONE	MG63	wt
PK1_PANCREAS	PK1	wt
HS840T_FIBROBLAST	HS840T	wt
NCIH23_LUNG	NCIH23	wt
TE617T_SOFT_TISSUE	TE617T	wt
SW1088_CENTRAL_NERVOUS_SYSTEM	SW1088	wt
NCIH1373_LUNG	NCIH1373	wt
NCIH1930_LUNG	NCIH1930	wt
NCIH1623_LUNG	NCIH1623	wt
HS229T_FIBROBLAST	HS229T	wt
NCIH1838_LUNG	NCIH1838	wt
NCIH1836_LUNG	NCIH1836	wt
HS688AT_FIBROBLAST	HS688AT	wt
PANC0504_PANCREAS	PANC0504	wt
HS822T_FIBROBLAST	HS822T	wt
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL70	wt
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CI1	wt
RCM1_LARGE_INTESTINE	RCM1	wt
HS737T_FIBROBLAST	HS737T	wt
HS616T_FIBROBLAST	HS616T	wt
HS600T_FIBROBLAST	HS600T	wt
TE159T_FIBROBLAST	TE159T	wt
A101D_SKIN	A101D	wt
NCIH1755_LUNG	NCIH1755	wt
RERFLCKJ_LUNG	RERFLCKJ	wt
NCIH1693_LUNG	NCIH1693	wt
SW780_URINARY_TRACT	SW780	wt
HS683_CENTRAL_NERVOUS_SYSTEM	HS683	wt
HS729_SOFT_TISSUE	HS729	wt
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	U937	wt
SKLMS1_SOFT_TISSUE	SKLMS1	wt
HUTU80_SMALL_INTESTINE	HUTU80	wt
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MEG01	wt
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	REH	wt
ONS76_CENTRAL_NERVOUS_SYSTEM	ONS76	wt
RPMI6666_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RPMI6666	wt
SKNDZ_AUTONOMIC_GANGLIA	SKNDZ	wt
DMS114_LUNG	DMS114	wt
OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCILY10	wt
ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ST486	wt
SW1353_BONE	SW1353	wt
MDAMB157_BREAST	MDAMB157	wt
LN18_CENTRAL_NERVOUS_SYSTEM	LN18	wt
769P_KIDNEY	769P	wt
786O_KIDNEY	786O	wt
HEPG2_LIVER	HEPG2	wt
MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLT4	wt
NCIH524_LUNG	NCIH524	wt
NCIH209_LUNG	NCIH209	wt
MIAPACA2_PANCREAS	MIAPACA2	wt
SBC5_LUNG	SBC5	wt
COLO829_SKIN	COLO829	wt
VCAP_PROSTATE	VCAP	wt
COLO704_OVARY	COLO704	wt
IPC298_SKIN	IPC298	wt
CAPAN2_PANCREAS	CAPAN2	wt
HS766T_PANCREAS	HS766T	wt
NCIH196_LUNG	NCIH196	wt
NCIH889_LUNG	NCIH889	wt
NCIH211_LUNG	NCIH211	wt
HS571T_OVARY	HS571T	wt
MDAPCA2B_PROSTATE	MDAPCA2B	wt
SKMEL24_SKIN	SKMEL24	wt
K029AX_SKIN	K029AX	wt
HT1376_URINARY_TRACT	HT1376	wt
NCIH2171_LUNG	NCIH2171	wt
PANC1005_PANCREAS	PANC1005	wt
EVSAT_BREAST	EVSAT	wt
HS695T_SKIN	HS695T	wt
CHL1_SKIN	CHL1	wt
SKMEL3_SKIN	SKMEL3	wt
ASPC1_PANCREAS	ASPC1	wt
OVSAHO_OVARY	OVSAHO	wt
NCIH2030_LUNG	NCIH2030	wt
MALME3M_SKIN	MALME3M	wt
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS12BM	wt
T98G_CENTRAL_NERVOUS_SYSTEM	T98G	wt
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HL60	wt
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	DBTRG05MG	wt
HEYA8_OVARY	HEYA8	wt
NCIH2122_LUNG	NCIH2122	wt
MELJUSO_SKIN	MELJUSO	wt
SW620_LARGE_INTESTINE	SW620	wt
VMRCRCZ_KIDNEY	VMRCRCZ	wt
DU145_PROSTATE	DU145	wt
MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MM1S	wt
L33_PANCREAS	L33	wt
SKMEL2_SKIN	SKMEL2	wt
A549_LUNG	A549	wt
A172_CENTRAL_NERVOUS_SYSTEM	A172	wt
COLO679_SKIN	COLO679	wt
KP2_PANCREAS	KP2	wt
HUH1_LIVER	HUH1	wt
PANC0403_PANCREAS	PANC0403	wt
TYKNU_OVARY	TYKNU	wt
MELHO_SKIN	MELHO	wt
RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RL	wt
G361_SKIN	G361	wt
NCIH647_LUNG	NCIH647	wt
GMS10_CENTRAL_NERVOUS_SYSTEM	GMS10	wt
HLFA_FIBROBLAST	HLFA	wt
42MGBA_CENTRAL_NERVOUS_SYSTEM	42MGBA	wt
HCC44_LUNG	HCC44	wt
NCIH522_LUNG	NCIH522	wt
PK59_PANCREAS	PK59	wt
COLO741_SKIN	COLO741	wt
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HDMYZ	wt
NCIH661_LUNG	NCIH661	wt
LNCAPCLONEFGC_PROSTATE	LNCAPCLONEFGC	wt
LS411N_LARGE_INTESTINE	LS411N	wt
HCC78_LUNG	HCC78	wt
U251MG_CENTRAL_NERVOUS_SYSTEM	U251MG	wt
TE11_OESOPHAGUS	TE11	wt
TE1_OESOPHAGUS	TE1	wt
MOGGUVW_CENTRAL_NERVOUS_SYSTEM	MOGGUVW	wt
RERFLCAD1_LUNG	RERFLCAD1	wt
KELLY_AUTONOMIC_GANGLIA	KELLY	wt
TE15_OESOPHAGUS	TE15	wt
8MGBA_CENTRAL_NERVOUS_SYSTEM	8MGBA	wt
NCIH1703_LUNG	NCIH1703	wt
QGP1_PANCREAS	QGP1	wt
ACHN_KIDNEY	ACHN	wt
LOVO_LARGE_INTESTINE	LOVO	wt
NCIH1581_LUNG	NCIH1581	wt
SCABER_URINARY_TRACT	SCABER	wt
SKMEL30_SKIN	SKMEL30	wt
C32_SKIN	C32	wt
PANC0327_PANCREAS	PANC0327	wt
ES2_OVARY	ES2	wt
NCIH1395_LUNG	NCIH1395	wt
NCIH1781_LUNG	NCIH1781	wt
LS1034_LARGE_INTESTINE	LS1034	wt
G402_SOFT_TISSUE	G402	wt
CHP212_AUTONOMIC_GANGLIA	CHP212	wt
RT4_URINARY_TRACT	RT4	wt
KATOIII_STOMACH	KATOIII	wt
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BDCM	wt
