Sample.ID	Patient.ID	changed
KCIMOH1_PANCREAS	KCIMOH1_PANCREAS	wt
HCC44_LUNG	HCC44_LUNG	wt
KYSE70_OESOPHAGUS	KYSE70_OESOPHAGUS	wt
GAMG_CENTRAL_NERVOUS_SYSTEM	GAMG_CENTRAL_NERVOUS_SYSTEM	wt
SNB19_CENTRAL_NERVOUS_SYSTEM	SNB19_CENTRAL_NERVOUS_SYSTEM	wt
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
HCC78_LUNG	HCC78_LUNG	wt
YKG1_CENTRAL_NERVOUS_SYSTEM	YKG1_CENTRAL_NERVOUS_SYSTEM	wt
U251MG_CENTRAL_NERVOUS_SYSTEM	U251MG_CENTRAL_NERVOUS_SYSTEM	wt
TE1_OESOPHAGUS	TE1_OESOPHAGUS	wt
MOGGUVW_CENTRAL_NERVOUS_SYSTEM	MOGGUVW_CENTRAL_NERVOUS_SYSTEM	wt
RERFLCAD1_LUNG	RERFLCAD1_LUNG	wt
KELLY_AUTONOMIC_GANGLIA	KELLY_AUTONOMIC_GANGLIA	wt
NCIH1155_LUNG	NCIH1155_LUNG	wt
TE15_OESOPHAGUS	TE15_OESOPHAGUS	wt
8MGBA_CENTRAL_NERVOUS_SYSTEM	8MGBA_CENTRAL_NERVOUS_SYSTEM	wt
AGS_STOMACH	AGS_STOMACH	wt
DETROIT562_UPPER_AERODIGESTIVE_TRACT	DETROIT562_UPPER_AERODIGESTIVE_TRACT	wt
LOVO_LARGE_INTESTINE	LOVO_LARGE_INTESTINE	wt
NCIH1581_LUNG	NCIH1581_LUNG	wt
SCABER_URINARY_TRACT	SCABER_URINARY_TRACT	wt
RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
DLD1_LARGE_INTESTINE	DLD1_LARGE_INTESTINE	wt
ES2_OVARY	ES2_OVARY	wt
LS1034_LARGE_INTESTINE	LS1034_LARGE_INTESTINE	wt
G402_SOFT_TISSUE	G402_SOFT_TISSUE	wt
RT4_URINARY_TRACT	RT4_URINARY_TRACT	wt
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
SW1417_LARGE_INTESTINE	SW1417_LARGE_INTESTINE	wt
HS606T_FIBROBLAST	HS606T_FIBROBLAST	wt
MDAMB415_BREAST	MDAMB415_BREAST	wt
DMS79_LUNG	DMS79_LUNG	wt
NCIH2106_LUNG	NCIH2106_LUNG	wt
SW579_THYROID	SW579_THYROID	wt
TOV112D_OVARY	TOV112D_OVARY	wt
BT549_BREAST	BT549_BREAST	wt
A375_SKIN	A375_SKIN	wt
NCIH446_LUNG	NCIH446_LUNG	wt
HS294T_SKIN	HS294T_SKIN	wt
SKMEL5_SKIN	SKMEL5_SKIN	wt
TCCPAN2_PANCREAS	TCCPAN2_PANCREAS	wt
PC3_PROSTATE	PC3_PROSTATE	wt
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
RT112_URINARY_TRACT	RT112_URINARY_TRACT	wt
NUGC3_STOMACH	NUGC3_STOMACH	wt
CAKI2_KIDNEY	CAKI2_KIDNEY	wt
OE19_OESOPHAGUS	OE19_OESOPHAGUS	wt
KMRC2_KIDNEY	KMRC2_KIDNEY	wt
IM95_STOMACH	IM95_STOMACH	wt
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
WM2664_SKIN	WM2664_SKIN	wt
KMRC1_KIDNEY	KMRC1_KIDNEY	wt
COLO849_SKIN	COLO849_SKIN	wt
LOXIMVI_SKIN	LOXIMVI_SKIN	wt
AN3CA_ENDOMETRIUM	AN3CA_ENDOMETRIUM	wt
MOGGCCM_CENTRAL_NERVOUS_SYSTEM	MOGGCCM_CENTRAL_NERVOUS_SYSTEM	wt
KYSE30_OESOPHAGUS	KYSE30_OESOPHAGUS	wt
PSN1_PANCREAS	PSN1_PANCREAS	wt
PATU8988T_PANCREAS	PATU8988T_PANCREAS	wt
IGR37_SKIN	IGR37_SKIN	wt
LN443_CENTRAL_NERVOUS_SYSTEM	LN443_CENTRAL_NERVOUS_SYSTEM	wt
SLR23_KIDNEY	SLR23_KIDNEY	wt
OELE_OVARY	OELE_OVARY	wt
LN235_CENTRAL_NERVOUS_SYSTEM	LN235_CENTRAL_NERVOUS_SYSTEM	wt
BJHTERT_SKIN	BJHTERT_SKIN	wt
SLR24_KIDNEY	SLR24_KIDNEY	wt
EWS502_BONE	EWS502_BONE	wt
SALE_LUNG	SALE_LUNG	wt
SKRC31_KIDNEY	SKRC31_KIDNEY	wt
TC32_BONE	TC32_BONE	wt
PRECLH_PROSTATE	PRECLH_PROSTATE	wt
RCC4_KIDNEY	RCC4_KIDNEY	wt
LN215_CENTRAL_NERVOUS_SYSTEM	LN215_CENTRAL_NERVOUS_SYSTEM	wt
LN464_CENTRAL_NERVOUS_SYSTEM	LN464_CENTRAL_NERVOUS_SYSTEM	wt
SLR25_KIDNEY	SLR25_KIDNEY	wt
F5_CENTRAL_NERVOUS_SYSTEM	F5_CENTRAL_NERVOUS_SYSTEM	wt
