Sample.ID	Patient.ID	changed
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
HCT15_LARGE_INTESTINE	HCT15_LARGE_INTESTINE	mut
DV90_LUNG	DV90_LUNG	mut
HCT116_LARGE_INTESTINE	HCT116_LARGE_INTESTINE	mut
LOVO_LARGE_INTESTINE	LOVO_LARGE_INTESTINE	mut
NCIH747_LARGE_INTESTINE	NCIH747_LARGE_INTESTINE	mut
T84_LARGE_INTESTINE	T84_LARGE_INTESTINE	mut
NCIH1944_LUNG	NCIH1944_LUNG	mut
NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
HCC515_LUNG	HCC515_LUNG	mut
HRT18_LARGE_INTESTINE	HRT18_LARGE_INTESTINE	mut
143B_BONE	143B_BONE	wt
TOV112D_OVARY	TOV112D_OVARY	wt
LMSU_STOMACH	LMSU_STOMACH	wt
CORL47_LUNG	CORL47_LUNG	wt
HT1376_URINARY_TRACT	HT1376_URINARY_TRACT	wt
COV318_OVARY	COV318_OVARY	wt
SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
SF126_CENTRAL_NERVOUS_SYSTEM	SF126_CENTRAL_NERVOUS_SYSTEM	wt
HCC1954_BREAST	HCC1954_BREAST	wt
CAMA1_BREAST	CAMA1_BREAST	wt
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
RDES_BONE	RDES_BONE	wt
MDAMB157_BREAST	MDAMB157_BREAST	wt
NCIH196_LUNG	NCIH196_LUNG	wt
JHH2_LIVER	JHH2_LIVER	wt
KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
RH41_SOFT_TISSUE	RH41_SOFT_TISSUE	wt
KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
SCLC21H_LUNG	SCLC21H_LUNG	wt
SNU16_STOMACH	SNU16_STOMACH	mut
SNU601_STOMACH	SNU601_STOMACH	mut
NCIH2291_LUNG	NCIH2291_LUNG	mut
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
